origin,date,store_nbr,family,prediction,q10,q80,q90,quantiles_ordered
2017-07-02,2017-07-02,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-03,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-04,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-05,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-06,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-07,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-08,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-09,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-10,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-11,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-12,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-13,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-14,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-15,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-16,1,BABY CARE,0.0,0.0,0.0,0.0,True
2017-07-02,2017-07-02,1,BEVERAGES,1123.04638671875,596.7232666015625,1426.7908935546875,1614.415283203125,True
2017-07-02,2017-07-03,1,BEVERAGES,2352.24609375,1832.60107421875,2669.084716796875,2827.21435546875,True
2017-07-02,2017-07-04,1,BEVERAGES,2339.6552734375,1864.130859375,2621.38330078125,2755.972900390625,True
2017-07-02,2017-07-05,1,BEVERAGES,2492.79052734375,2058.799072265625,2734.045166015625,2873.955322265625,True
2017-07-02,2017-07-06,1,BEVERAGES,2261.947998046875,1854.4779052734375,2497.350830078125,2635.900634765625,True
2017-07-02,2017-07-07,1,BEVERAGES,2463.48193359375,1982.116943359375,2705.501708984375,2848.216064453125,True
2017-07-02,2017-07-08,1,BEVERAGES,2576.928955078125,2045.96875,2863.01220703125,3021.0078125,True
2017-07-02,2017-07-09,1,BEVERAGES,1131.3199462890625,590.0250244140625,1445.2860107421875,1618.56982421875,True
2017-07-02,2017-07-10,1,BEVERAGES,2356.1533203125,1829.6329345703125,2643.35986328125,2815.03564453125,True
2017-07-02,2017-07-11,1,BEVERAGES,2346.1845703125,1858.3800048828125,2596.52099609375,2739.75341796875,True
2017-07-02,2017-07-12,1,BEVERAGES,2475.41650390625,2040.3828125,2698.45703125,2823.608642578125,True
2017-07-02,2017-07-13,1,BEVERAGES,2266.916015625,1818.19482421875,2477.41162109375,2614.5029296875,True
2017-07-02,2017-07-14,1,BEVERAGES,2421.696044921875,1922.767333984375,2657.89306640625,2795.047119140625,True
2017-07-02,2017-07-15,1,BEVERAGES,2549.81494140625,2000.320556640625,2817.388671875,2982.581787109375,True
2017-07-02,2017-07-16,1,BEVERAGES,1130.447265625,568.9344482421875,1445.24609375,1638.1650390625,True
2017-07-02,2017-07-02,1,BOOKS,0.0,0.0,0.5605591535568237,0.8014964461326599,True
2017-07-02,2017-07-03,1,BOOKS,0.0,0.0,0.6313326358795166,0.91236811876297,True
2017-07-02,2017-07-04,1,BOOKS,0.020362764596939087,0.0,0.7080377340316772,1.0064690113067627,True
2017-07-02,2017-07-05,1,BOOKS,0.023782044649124146,0.0,0.7321832180023193,1.0621156692504883,True
2017-07-02,2017-07-06,1,BOOKS,0.013082504272460938,0.0,0.7310726046562195,1.0766880512237549,True
2017-07-02,2017-07-07,1,BOOKS,0.004399716854095459,0.0,0.7262297868728638,1.0820612907409668,True
2017-07-02,2017-07-08,1,BOOKS,0.001346975564956665,0.0,0.7212215662002563,1.093451738357544,True
2017-07-02,2017-07-09,1,BOOKS,0.0,0.0,0.7173060178756714,1.1169910430908203,True
2017-07-02,2017-07-10,1,BOOKS,0.0,0.0,0.7399863600730896,1.1408060789108276,True
2017-07-02,2017-07-11,1,BOOKS,0.009610652923583984,0.0,0.7703853845596313,1.1936464309692383,True
2017-07-02,2017-07-12,1,BOOKS,0.025720864534378052,0.0,0.7990092039108276,1.2174386978149414,True
2017-07-02,2017-07-13,1,BOOKS,0.0,0.0,0.7664097547531128,1.2049586772918701,True
2017-07-02,2017-07-14,1,BOOKS,0.002150923013687134,0.0,0.7652658224105835,1.194897174835205,True
2017-07-02,2017-07-15,1,BOOKS,0.009534239768981934,0.0,0.7810057401657104,1.2151038646697998,True
2017-07-02,2017-07-16,1,BOOKS,0.001295626163482666,0.0,0.7904860973358154,1.2424616813659668,True
2017-07-02,2017-07-02,1,GROCERY I,1386.735107421875,697.5430908203125,1821.1083984375,2095.504638671875,True
2017-07-02,2017-07-03,1,GROCERY I,2698.607421875,2038.2137451171875,3145.59423828125,3376.154296875,True
2017-07-02,2017-07-04,1,GROCERY I,3017.6689453125,2421.174560546875,3392.9951171875,3591.026611328125,True
2017-07-02,2017-07-05,1,GROCERY I,3207.7470703125,2683.8916015625,3522.62158203125,3722.837646484375,True
2017-07-02,2017-07-06,1,GROCERY I,2849.830078125,2348.119140625,3150.14208984375,3356.4462890625,True
2017-07-02,2017-07-07,1,GROCERY I,2984.433349609375,2400.5263671875,3305.45751953125,3505.064453125,True
2017-07-02,2017-07-08,1,GROCERY I,2779.004150390625,2110.46435546875,3168.62451171875,3404.677001953125,True
2017-07-02,2017-07-09,1,GROCERY I,1467.529052734375,761.1234130859375,1880.1773681640625,2142.49072265625,True
2017-07-02,2017-07-10,1,GROCERY I,2757.880615234375,2092.362548828125,3149.75390625,3406.12841796875,True
2017-07-02,2017-07-11,1,GROCERY I,3044.38916015625,2436.971923828125,3383.88232421875,3612.1669921875,True
2017-07-02,2017-07-12,1,GROCERY I,3200.735595703125,2673.04345703125,3510.13916015625,3719.84619140625,True
2017-07-02,2017-07-13,1,GROCERY I,2853.132080078125,2310.164306640625,3156.8193359375,3363.09375,True
2017-07-02,2017-07-14,1,GROCERY I,3002.236328125,2382.99462890625,3341.0888671875,3576.80322265625,True
2017-07-02,2017-07-15,1,GROCERY I,2795.93310546875,2090.68896484375,3184.470458984375,3440.193115234375,True
2017-07-02,2017-07-16,1,GROCERY I,1481.003662109375,750.86474609375,1929.6988525390625,2232.8154296875,True
2017-07-02,2017-07-02,1,HOME APPLIANCES,0.2969704270362854,0.0,1.0212981700897217,1.4383434057235718,True
2017-07-02,2017-07-03,1,HOME APPLIANCES,0.2965015172958374,0.0,1.0643432140350342,1.5177085399627686,True
2017-07-02,2017-07-04,1,HOME APPLIANCES,0.3207855522632599,0.0,1.1319305896759033,1.5950486660003662,True
2017-07-02,2017-07-05,1,HOME APPLIANCES,0.3405737280845642,0.0,1.1584908962249756,1.6570907831192017,True
2017-07-02,2017-07-06,1,HOME APPLIANCES,0.363510400056839,0.0,1.1955852508544922,1.702945590019226,True
2017-07-02,2017-07-07,1,HOME APPLIANCES,0.3780040144920349,0.0,1.2263400554656982,1.7270768880844116,True
2017-07-02,2017-07-08,1,HOME APPLIANCES,0.38181501626968384,0.0,1.2362470626831055,1.7518411874771118,True
2017-07-02,2017-07-09,1,HOME APPLIANCES,0.3681975305080414,0.0,1.215177297592163,1.7443211078643799,True
2017-07-02,2017-07-10,1,HOME APPLIANCES,0.3519158661365509,0.0,1.2190804481506348,1.7330220937728882,True
2017-07-02,2017-07-11,1,HOME APPLIANCES,0.31325799226760864,0.0,1.180464267730713,1.7105144262313843,True
2017-07-02,2017-07-12,1,HOME APPLIANCES,0.3118811845779419,0.0,1.1956640481948853,1.7186532020568848,True
2017-07-02,2017-07-13,1,HOME APPLIANCES,0.31432002782821655,0.0,1.1875935792922974,1.736716628074646,True
2017-07-02,2017-07-14,1,HOME APPLIANCES,0.31518903374671936,0.0,1.1947355270385742,1.7304376363754272,True
2017-07-02,2017-07-15,1,HOME APPLIANCES,0.32930147647857666,0.0,1.2077107429504395,1.7475545406341553,True
2017-07-02,2017-07-16,1,HOME APPLIANCES,0.34013715386390686,0.0,1.2177200317382812,1.771911382675171,True
2017-07-02,2017-07-02,1,LAWN AND GARDEN,10.914734840393066,3.66214656829834,16.767797470092773,20.583887100219727,True
2017-07-02,2017-07-03,1,LAWN AND GARDEN,15.430166244506836,7.939170837402344,21.795875549316406,25.798572540283203,True
2017-07-02,2017-07-04,1,LAWN AND GARDEN,18.779678344726562,10.146263122558594,26.042236328125,30.457416534423828,True
2017-07-02,2017-07-05,1,LAWN AND GARDEN,20.693984985351562,11.209257125854492,28.571277618408203,33.53617858886719,True
2017-07-02,2017-07-06,1,LAWN AND GARDEN,19.675249099731445,9.876489639282227,27.777952194213867,32.810699462890625,True
2017-07-02,2017-07-07,1,LAWN AND GARDEN,22.184175491333008,12.949102401733398,29.841934204101562,34.54210662841797,True
2017-07-02,2017-07-08,1,LAWN AND GARDEN,17.1560001373291,9.039510726928711,24.14407730102539,28.753334045410156,True
2017-07-02,2017-07-09,1,LAWN AND GARDEN,10.371851921081543,2.9936866760253906,16.871797561645508,21.20012092590332,True
2017-07-02,2017-07-10,1,LAWN AND GARDEN,14.886883735656738,7.092857360839844,21.5598201751709,26.02762222290039,True
2017-07-02,2017-07-11,1,LAWN AND GARDEN,18.368135452270508,9.471649169921875,25.597654342651367,30.391189575195312,True
2017-07-02,2017-07-12,1,LAWN AND GARDEN,20.152894973754883,10.335704803466797,28.150243759155273,33.23426818847656,True
2017-07-02,2017-07-13,1,LAWN AND GARDEN,19.210607528686523,9.404303550720215,27.384017944335938,32.52231216430664,True
2017-07-02,2017-07-14,1,LAWN AND GARDEN,21.687105178833008,12.317211151123047,29.399707794189453,34.205116271972656,True
2017-07-02,2017-07-15,1,LAWN AND GARDEN,16.837549209594727,8.732955932617188,23.81044578552246,28.3447265625,True
2017-07-02,2017-07-16,1,LAWN AND GARDEN,10.20949935913086,3.0541858673095703,16.7692928314209,21.273956298828125,True
2017-07-02,2017-07-02,1,"LIQUOR,WINE,BEER",42.573753356933594,15.211830139160156,64.52579498291016,79.45790100097656,True
2017-07-02,2017-07-03,1,"LIQUOR,WINE,BEER",56.412654876708984,34.88101577758789,76.07650756835938,89.87567138671875,True
2017-07-02,2017-07-04,1,"LIQUOR,WINE,BEER",74.69107055664062,50.519962310791016,96.93919372558594,111.1201400756836,True
